"lx","ly","h","phi","Amplitude","Phase"
0.133,0.233,0.362,45,0.352672,1.6274
0.229,0.256,0.3,45,0.033489,0.956300000000001
0.197,0.274,0.474,45,0.209989,1.8616
0.146,0.287,0.423,45,0.419867,1.67702
0.185,0.218,0.397,45,0.068852,1.2329
0.287,0.208,0.377,45,-0.06375,0.686399999999999
0.069,0.2,0.372,45,0.471736,1.2285
0.3,0.279,0.351,45,-0.00744,0.9998
0.242,0.249,0.428,45,-0.01941,0.1974
0.165,0.21,0.454,45,0.12058,2.2277
0.268,0.238,0.387,45,-0.04567,0.521814692820413
0.153,0.267,0.356,60,0.554799,1.887
0.063,0.213,0.444,60,0.699827,1.34748530717959
0.076,0.282,0.346,60,0.718501,1.3589
0.281,0.295,0.418,60,0.03494,0.5197
0.21,0.223,0.495,60,0.06337,2.2367
0.274,0.236,0.469,60,-0.03558,1.1461
0.204,0.297,0.382,60,0.381222,1.92849469282041
0.236,0.29,0.31,60,0.2391,1.9774
0.249,0.215,0.433,60,-0.03039,1.1827
0.172,0.241,0.438,60,0.365782,2.1104
0.127,0.231,0.49,60,0.580288,1.9616
0.191,0.259,0.408,60,0.321543,1.7007
0.082,0.262,0.392,60,0.735355,1.53595469282041
0.255,0.272,0.449,60,0.05129,0.576
0.108,0.228,0.413,60,0.684494,1.59891469282041
0.159,0.3,0.315,60,0.669272,1.7827
0.121,0.254,0.459,60,0.684736,1.6025
0.294,0.244,0.336,60,0.00283,1.5775
0.114,0.277,0.305,60,0.722279,1.4658
0.14,0.205,0.326,60,0.39692,1.8057
0.262,0.203,0.479,60,0.036956,1.6747
0.223,0.221,0.321,60,-0.01291,0.120100000000001
0.217,0.264,0.367,60,0.183416,1.2606
0.05,0.292,0.403,60,0.723316,1.32091530717959
0.095,0.246,0.331,60,0.719349,1.5806
0.088,0.269,0.5,60,0.726383,1.20536
0.056,0.226,0.341,60,0.735606,1.4299
0.101,0.285,0.464,60,0.729764,1.503162
0.178,0.251,0.485,60,0.36567,2.2732
